rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
19.59,3810,0,194,33.429272469999994,13889,0.05,3609,0.0001,4.236308574676514
19.62,3826,0,195,32.53738137999999,13955,0.05,3625,0.0001,1.8821980953216553
19.65,3850,0,196,32.90176113,14054,0.05,3649,0.0001,3.1941752433776855
19.65,3866,0,197,33.28940201,14120,0.05,3665,0.0001,1.2591593265533447
19.72,3889,0,198,33.3273696,14217,0.05,3688,0.0001,2.8683056831359863
19.62,3906,0,199,32.859476130000004,14286,0.05,3705,0.0001,3.321091651916504
19.62,3922,0,200,32.66988345,14355,0.05,3721,0.0001,1.328247308731079
19.67,3944,0,201,32.9346728,14442,0.05,3743,0.0001,2.50117564201355
19.7,3971,0,202,32.997293729999996,14554,0.05,3770,0.0001,2.2797813415527344
19.65,3987,0,203,32.988693170000005,14620,0.05,3786,0.0001,3.051663875579834
19.76,4015,0,204,33.33394834,14733,0.05,3814,0.0001,2.21170711517334
19.65,4031,0,205,33.55597014,14800,0.05,3830,0.0001,3.086545467376709
19.65,4047,0,206,33.02064872,14869,0.05,3846,0.0001,3.5865848064422607
19.63,4066,0,207,33.02204358,14947,0.05,3865,0.0001,1.599979043006897
19.68,4095,0,208,33.225108230000004,15064,0.05,3894,0.0001,2.804025650024414
19.69,4112,0,209,33.65598147000001,15134,0.05,3911,0.0001,3.6397628784179688
19.62,4132,0,210,33.95730934,15217,0.05,3931,0.0001,3.559535026550293
19.66,4153,0,211,33.88946137000001,15301,0.05,3952,0.0001,1.745218276977539
19.57,4172,0,212,33.961686879999995,15382,0.05,3971,0.0001,1.873846411705017
19.57,4190,0,213,34.01926458,15455,0.05,3989,0.0001,2.4270975589752197
19.47,4207,0,214,33.86676403999999,15528,0.05,4006,0.0001,2.35102915763855
19.57,4233,0,215,34.11522608,15630,0.05,4032,0.0001,2.0454084873199463
19.57,4255,0,216,33.60483464000001,15722,0.05,4054,0.0001,2.8641538619995117
19.48,4272,0,217,33.29189564000001,15794,0.05,4071,0.0001,1.8178930282592773
19.44,4295,0,218,33.205299200000006,15890,0.05,4094,0.0001,4.185361385345459
19.42,4313,0,219,32.74450204,15963,0.05,4112,0.0001,2.7837722301483154
19.41,4340,0,220,32.50223973,16073,0.05,4139,0.0001,3.3596601486206055
19.48,4367,0,221,32.01148647,16180,0.05,4166,0.0001,1.7910712957382202
19.47,4395,0,222,31.99114058,16295,0.05,4194,0.0001,1.0828465223312378
19.45,4409,0,223,31.95484794,16354,0.05,4208,0.0001,2.565495014190674
19.39,4425,0,224,31.48342761,16422,0.05,4224,0.0001,2.5012855529785156
19.54,4452,0,225,31.633498109999994,16530,0.05,4251,0.0001,1.647627830505371
19.66,4480,0,226,31.71513691,16644,0.05,4279,0.0001,1.290864109992981
19.68,4498,0,227,31.271999009999995,16716,0.05,4297,0.0001,2.461003065109253
19.79,4527,0,228,31.28413538,16835,0.05,4326,0.0001,3.0004005432128906
19.9,4555,0,229,30.9001824,16946,0.05,4354,0.0001,2.947237014770508
19.96,4576,0,230,31.500949010000003,17033,0.05,4375,0.0001,2.517610549926758
20.0,4596,0,231,31.05566951,17113,0.05,4395,0.0001,2.7461862564086914
19.85,4609,0,232,30.72490218,17170,0.05,4408,0.0001,2.387645721435547
19.72,4624,0,233,31.31531024,17232,0.05,4423,0.0001,1.255631923675537
19.61,4641,0,234,31.272993109999998,17304,0.05,4440,0.0001,1.2006033658981323
19.65,4661,0,235,31.38918586,17386,0.05,4460,0.0001,1.654226303100586
19.66,4678,0,236,31.442903030000004,17459,0.05,4477,0.0001,2.9344966411590576
19.64,4695,0,237,31.4717816,17529,0.05,4494,0.0001,2.6030561923980713
19.61,4708,0,238,30.60921815,17587,0.05,4507,0.0001,3.3839573860168457
19.6,4724,0,239,30.54238558,17654,0.05,4523,0.0001,1.3713032007217407
19.73,4753,0,240,30.894080770000002,17773,0.05,4552,0.0001,1.7436368465423584
19.6,4765,0,241,30.773615609999997,17824,0.05,4564,0.0001,2.986051559448242
19.71,4792,0,242,30.816548899999997,17937,0.05,4591,0.0001,2.5240368843078613
19.77,4814,0,243,30.776117750000004,18026,0.05,4613,0.0001,2.5053181648254395
19.81,4837,0,244,30.31863823,18122,0.05,4636,0.0001,1.5805132389068604
19.82,4855,0,245,30.829514330000002,18196,0.05,4654,0.0001,2.789405345916748
19.83,4873,0,246,30.31326592,18271,0.05,4672,0.0001,1.54506516456604
19.84,4901,0,247,30.248550619999996,18382,0.05,4700,0.0001,1.239639163017273
19.9,4923,0,248,29.737652859999997,18474,0.05,4722,0.0001,2.7418265342712402
19.93,4948,0,249,29.99547218,18574,0.05,4747,0.0001,2.853025197982788
19.9,4971,0,250,30.017146180000005,18669,0.05,4770,0.0001,2.442203998565674
19.87,4987,0,251,29.5692254,18737,0.05,4786,0.0001,2.5207319259643555
